# symmetry: hexagonal
# a: 2.3803
# b: 2.3803
# c: 3.838
# alpha: 90.0
# beta: 90.0
# gamma: 120.0
# wavelength: 0.4832
# C11: 549.2
# C12: 269.0
# C44: 136.0
# C33: 658.2
# C13: 266.4
# sig11: 0
# sig22: 0
# sig33: 0
# chi: 90.0

h,k,l,intensity
1,0,0,24.2
0,0,2,25.9
1,0,1,100
1,0,2,14.7
2,-1,0,16.7
1,0,3,17.8
2,0,0,2.5
1,1,2,18.2
2,0,1,12.9
0,0,4,2.4
2,0,2,3.0
1,0,4,2.5
2,0,3,5.5
2,1,0,1.6
